Question,Question Text,A,B,C,D,E,Your Answer,Correct,Points,Domain
Q23,A company's infrastructure consists of Amazon EC2 instances and an Amazon RDS DB instance in a single AWS Region. The company wants to back up its data in a separate Region. Which solution will meet these requirements with the LEAST operational overhead? Region. RDS backups to the separate Region. 108 Global IT Certification Hub to the separate Region. Create a read replica for the RDS DB instance in the separate Region. snapshots to the separate Region. Create RDS snapshots. Export the RDS snapshots to Amazon S3. Configure S3 Cross-Region Replication (CRR) to the separate Region.,Use AWS Backup to copy EC2 backups and RDS backups to the separate,Use Amazon Data Lifecycle Manager (Amazon DLM) to copy EC2 backups and,Create Amazon Machine Images (AMIs) of the EC2 instances. Copy the AMIs,Create Amazon Elastic Block Store (Amazon EBS) snapshots. Copy the EBS,,,A,"=IF(H24=I24,1,0)",Design Resilient Architectures
Q24,"A company is creating a new web application for its subscribers. The application will consist of a static single page and a persistent database layer. The application will have millions of users for 4 hours in the morning, but the application will have only a few thousand users during the rest of the day. The company's data architects have requested the ability to rapidly evolve their schema. Which solutions will meet these requirements and provide the MOST scalability? (Choose two.) capacity. engine mode. auto scaling is enabled. CloudFront distribution with the S3 bucket as the origin. instances in Auto Scaling groups. Configure the instances to periodically refresh the content from an Amazon Elastic File System (Amazon EFS) volume.",Deploy Amazon DynamoDB as the database solution. Provision on-demand,Deploy Amazon Aurora as the database solution. Choose the serverless DB,Deploy Amazon DynamoDB as the database solution. Ensure that DynamoDB,Deploy the static content into an Amazon S3 bucket. Provision an Amazon,Deploy the web servers for static content across a fleet of Amazon EC2,,AD,"=IF(H25=I25,1,0)",Design High-Performing Architectures
Q25,A company runs an ecommerce application on AWS. Amazon EC2 instances process purchases and store the purchase details in an Amazon Aurora PostgreSQL DB cluster. Customers are experiencing application timeouts during times of peak usage. A solutions architect needs to rearchitect the application so that the application can scale to meet peak usage demands. Which combination of actions will meet these requirements MOST cost-effectively? (Choose two.) until the processing is complete. Update the applications to connect to the DB cluster by using Amazon RDS Proxy. Aurora PostgreSQL DB cluster. Queue Service (Amazon SQS) queue. Configure an Auto Scaling group of new EC2 instances that read from the SQS queue. processing is complete.,Configure an Auto Scaling group of new EC2 instances to retry the purchases,Configure the application to use an Amazon ElastiCache cluster in front of the,Update the application to send the purchase requests to an Amazon Simple,Configure an AWS Lambda function to retry the ticket purchases until the,Configure an Amazon AP! Gateway REST API with a usage plan.,,AC,"=IF(H26=I26,1,0)",Design Cost-Optimized Architectures
Q26,A company is using a centralized AWS account to store log data in various Amazon S3 buckets. A solutions architect needs to ensure that the data is encrypted at rest before the data is uploaded to the S3 buckets. The data also must be encrypted in transit. Which solution meets these requirements? buckets. buckets. managed encryption keys (SSE-S3) for S3 uploads. default AWS Key Management Service (AWS KMS) key. 167 Global IT Certification Hub,Use client-side encryption to encrypt the data that is being uploaded to the S3,Use server-side encryption to encrypt the data that is being uploaded to the S3,Create bucket policies that require the use of server-side encryption with S3,Enable the security option to encrypt the S3 buckets through the use of a,,,A,"=IF(H27=I27,1,0)",Design Secure Architectures
Q27,"A company has migrated a fleet of hundreds of on-premises virtual machines (VMs) to Amazon EC2 instances. The instances run a diverse fleet of Windows Server versions along with several Linux distributions. The company wants a solution that will automate inventory and updates of the operating systems. The company also needs a summary of common vulnerabilities of each instance for regular monthly reviews. What should a solutions architect recommend to meet these requirements? instances. Configure AWS Security Hub to produce monthly reports. instances. Deploy Amazon Inspector, and configure monthly reports. Config to automate patch installations on the EC2 instances. AWS Config to automate patch installations on the EC2 instances.",Set up AWS Systems Manager Patch Manager to manage all the EC2,Set up AWS Systems Manager Patch Manager to manage all the EC2,"Set up AWS Shield Advanced, and configure monthly reports. Deploy AWS",Set up Amazon GuardDuty in the account to monitor all EC2 instances. Deploy,,,B,"=IF(H28=I28,1,0)",Design Secure Architectures
Q28,A company uses Amazon EC2 instances and stores data on Amazon Elastic Block Store (Amazon EBS) volumes. The company must ensure that all data is encrypted at rest by using AWS Key Management Service (AWS KMS). The company must be able to control rotation of the encryption keys. Which solution will meet these requirements with the LEAST operational overhead? configure automatic key rotation. the EBS volumes.,Create a customer managed key. Use the key to encrypt the EBS volumes.,Use an AWS managed key to encrypt the EBS volumes. Use the key to,Create an external KMS key with imported key material. Use the key to encrypt,Use an AWS owned key to encrypt the EBS volumes.,,,A,"=IF(H29=I29,1,0)",Design Secure Architectures
Q29,A medical company wants to perform transformations on a large amount of clinical trial data that comes from several customers. The company must extract the data from a relational database that contains the customer data. Then the company 633 Global IT Certification Hub will transform the data by using a series of complex rules. The company will load the data to Amazon S3 when the transformations are complete. All data must be encrypted where it is processed before the company stores the data in Amazon S3. All data must be encrypted by using customer-specific keys. Which solution will meet these requirements with the LEAST amount of operational effort? each job that uses server-side encryption with Amazon S3 managed keys (SSE-S3) to encrypt the data. configuration to each cluster that uses client-side encryption with a custom client-side root key (CSE-Custom) to encrypt the data. each job that uses client-side encryption with AWS KMS managed keys (CSE-KMS) to encrypt the data. configuration to each cluster that uses server-side encryption with AWS KMS keys (SSE-KMS) to encrypt the data.,Create one AWS Glue job for each customer. Attach a security configuration to,Create one Amazon EMR cluster for each customer. Attach a security,Create one AWS Glue job for each customer. Attach a security configuration to,Create one Amazon EMR cluster for each customer. Attach a security,,,C,"=IF(H30=I30,1,0)",Design Secure Architectures
Q30,A company's application integrates with multiple software-as-a-service (SaaS) sources for data collection. The company runs Amazon EC2 instances to receive the data and to upload the data to an Amazon S3 bucket for analysis. The same EC2 instance that receives and uploads the data also sends a notification to the user when an upload is complete. The company has noticed slow application performance and wants to improve the performance as much as possible. Which solution will meet these requirements with the LEAST operational overhead? an S3 event notification to send events to an Amazon Simple Notification Service (Amazon SNS) topic when the upload to the S3 bucket is complete. and the S3 bucket. Configure an S3 event notification to send events to an Amazon Simple Notification Service (Amazon SNS) topic when the upload to the S3 bucket is complete. 26 Global IT Certification Hub SaaS source to send output data. Configure the S3 bucket as the rule's target. Create a second EventBridge (Cloud Watch Events) rule to send events when the upload to the S3 bucket is complete. Configure an Amazon Simple Notification Service (Amazon SNS) topic as the second rule's target. containerized application on Amazon Elastic Container Service (Amazon ECS). Configure Amazon CloudWatch Container Insights to send events to an Amazon Simple Notification Service (Amazon SNS) topic when the upload to the S3 bucket is complete.,Create an Auto Scaling group so that EC2 instances can scale out. Configure,Create an Amazon AppFlow flow to transfer data between each SaaS source,Create an Amazon EventBridge (Amazon CloudWatch Events) rule for each,Create a Docker container to use instead of an EC2 instance. Host the,,,B,"=IF(H31=I31,1,0)",Design High-Performing Architectures
Q31,A company has several web servers that need to frequently access a common Amazon RDS MySQL Multi-AZ DB instance. The company wants a secure method for the web servers to connect to the database while meeting a security requirement to rotate user credentials frequently. Which solution meets these requirements? necessary IAM permissions to allow the web servers to access AWS Secrets Manager. Grant the necessary IAM permissions to allow the web servers to access OpsCenter. necessary IAM permissions to allow the web servers to retrieve credentials and access the database. Management Service (AWS KMS) on the web server file system. The web server should be able to decrypt the files and access the database.,Store the database user credentials in AWS Secrets Manager. Grant the,Store the database user credentials in AWS Systems Manager OpsCenter.,Store the database user credentials in a secure Amazon S3 bucket. Grant the,Store the database user credentials in files encrypted with AWS Key,,,A,"=IF(H32=I32,1,0)",Design Secure Architectures
Q32,"A company needs to provide customers with secure access to its data. The company processes customer data and stores the results in an Amazon S3 bucket. All the data is subject to strong regulations and security requirements. The data must be encrypted at rest. Each customer must be able to access only their data from their AWS account. Company employees must not be able to access the data. Which solution will meet these requirements? Encrypt the data client-side. In the private certificate policy, deny access to the certificate for all principals except an IAM role that the customer provides. 432 Global IT Certification Hub customer. Encrypt the data server-side. In the S3 bucket policy, deny decryption of data for all principals except an IAM role that the customer provides. customer. Encrypt the data server-side. In each KMS key policy, deny decryption of data for all principals except an IAM role that the customer provides. Encrypt the data client-side. In the public certificate policy, deny access to the certificate for all principals except an IAM role that the customer provides.",Provision an AWS Certificate Manager (ACM) certificate for each customer.,Provision a separate AWS Key Management Service (AWS KMS) key for each,Provision a separate AWS Key Management Service (AWS KMS) key for each,Provision an AWS Certificate Manager (ACM) certificate for each customer.,,,C,"=IF(H33=I33,1,0)",Design Secure Architectures
Q33,A company is migrating a data center from its on-premises location to AWS. The company has several legacy applications that are hosted on individual virtual servers. Changes to the application designs cannot be made. Each individual virtual server currently runs as its own EC2 instance. A solutions architect needs to ensure that the applications are reliable and fault tolerant after migration to AWS. The applications will run on Amazon EC2 instances. Which solution will meet these requirements? one. Create an Amazon Machine Image (AMI) of each application instance. Use the AMI to create EC2 instances in the Auto Scaling group Configure an Application Load Balancer in front of the Auto Scaling group. each application. Store the backup in Amazon S3 in a separate Availability Zone. Configure a disaster recovery process to restore the EC2 instance for each application from its most recent backup. two new EC2 instances from the AMI. Place each EC2 instance in a separate Availability Zone. Configure a Network Load Balancer that has the EC2 instances as targets. EC2 instance. Break down functionality from each application into individual 557 Global IT Certification Hub components. Host each application on Amazon Elastic Container Service (Amazon ECS) with an AWS Fargate launch type.,Create an Auto Scaling group that has a minimum of one and a maximum of,Use AWS Backup to create an hourly backup of the EC2 instance that hosts,Create an Amazon Machine Image (AMI) of each application instance. Launch,Use AWS Mitigation Hub Refactor Spaces to migrate each application off the,,,A,"=IF(H34=I34,1,0)",Design Resilient Architectures
Q34,"A company wants to run an in-memory database for a latency-sensitive application that runs on Amazon EC2 instances. The application processes more than 100,000 transactions each minute and requires high network throughput. A solutions architect needs to provide a cost-effective network design that minimizes data transfer charges. Which solution meets these requirements? Region. Specify a placement group with cluster strategy when launching EC2 instances. Region. Specify a placement group with partition strategy when launching EC2 189 Global IT Certification Hub instances. Zones based on a network utilization target. instances in different Availability Zones.",Launch all EC2 instances in the same Availability Zone within the same AWS,Launch all EC2 instances in different Availability Zones within the same AWS,Deploy an Auto Scaling group to launch EC2 instances in different Availability,Deploy an Auto Scaling group with a step scaling policy to launch EC2,,,A,"=IF(H35=I35,1,0)",Design Resilient Architectures
Q35,"A company has deployed a web application on AWS. The company hosts the backend database on Amazon RDS for MySQL with a primary DB instance and five read replicas to support scaling needs. The read replicas must lag no more than 1 second behind the primary DB instance. The database routinely runs scheduled stored procedures. As traffic on the website increases, the replicas experience additional lag during periods of peak load. A solutions architect must reduce the replication lag as much as possible. The solutions architect must minimize changes to the application code 209 Global IT Certification Hub and must minimize ongoing operational overhead. Which solution will meet these requirements? Aurora Replicas, and configure Aurora Auto Scaling. Replace the stored procedures with Aurora MySQL native functions. on Modify the application to check the cache before the application queries the database. Replace the stored procedures with AWS Lambda functions. instances. Choose large, compute optimized EC2 instances for all replica nodes. Maintain the stored procedures on the EC2 instances. capacity units (RCUs) to support the required throughput, and configure on-demand capacity scaling. Replace the stored procedures with DynamoDB streams.",Migrate the database to Amazon Aurora MySQL. Replace the read replicas with,Deploy an Amazon ElastiCache for Redis cluster in front of the database.,Migrate the database to a MySQL database that runs on Amazon EC2,Migrate the database to Amazon DynamoDB. Provision a large number of read,,,A,"=IF(H36=I36,1,0)",Design High-Performing Architectures
