Question,Question Text,A,B,C,D,E,Your Answer,Correct,Points,Domain
Q11,"A company wants to create a mobile app that allows users to stream slow-motion video clips on their mobile devices. Currently, the app captures video clips and uploads the video clips in raw format into an Amazon S3 bucket. The app retrieves these video clips directly from the S3 bucket. However, the videos are large in their raw format. Users are experiencing issues with buffering and playback on mobile devices. The company wants to implement solutions to maximize the performance and scalability of the app while minimizing operational overhead. Which combination of solutions will meet these requirements? (Choose two.) S3 buckets. formats. content delivery and caching. files to more appropriate formats. 187 Global IT Certification Hub",Deploy Amazon CloudFront for content delivery and caching.,Use AWS DataSync to replicate the video files across AW'S Regions in other,Use Amazon Elastic Transcoder to convert the video files to more appropriate,Deploy an Auto Sealing group of Amazon EC2 instances in Local Zones for,Deploy an Auto Scaling group of Amazon EC2 instances to convert the video,,A,"=IF(H12=I12,1,0)",Design High-Performing Architectures
Q12,A solutions architect needs to connect a company's corporate network to its VPC to allow on-premises access to its AWS resources. The solution must provide encryption of all traffic between the corporate network and the VPC at the network layer and the session layer. The solution also must provide security controls to prevent unrestricted access between AWS and the on-premises systems. Which solution meets these requirements? tables to allow and deny traffic between AWS and on premises as required. from a defined set of corporate IP addresses. Restrict user access based on job responsibility by using an IAM policy and roles. entries to direct traffic from on premises to the VPConfigure instance security groups and network ACLs to allow only required traffic from on premises. entries to direct traffic from on premises to the VPC. Configure instance security groups and network ACLs to allow only required traffic from on premises.,Configure AWS Direct Connect to connect to the VPC. Configure the VPC route,Create an IAM policy to allow access to the AWS Management Console only,Configure AWS Site-to-Site VPN to connect to the VPConfigure route table,Configure AWS Transit Gateway to connect to the VPC. Configure route table,,,C,"=IF(H13=I13,1,0)",Design Secure Architectures
Q13,"A company sells datasets to customers who do research in artificial intelligence and machine learning (AI/ML). The datasets are large, formatted files that are stored in an Amazon S3 bucket in the us-east-1 Region. The company hosts a web application that the customers use to purchase access to a given dataset. The web application is deployed on multiple Amazon EC2 instances behind an Application Load Balancer. After a purchase is made, customers receive an S3 signed URL that allows access to the files. The customers are distributed across North America and Europe. The company wants to reduce the cost that is associated with data transfers and wants to maintain or improve performance. What should a solutions architect do to meet these requirements? requests to the S3 Transfer Acceleration endpoint. Continue to use S3 signed URLs for access control. origin. Direct customer requests to the CloudFront URL. Switch to CloudFront signed URLs for access control. Replication between the buckets. Direct customer requests to the closest Region. Continue to use S3 signed URLs for access control. Configure the web application to read the data from the existing S3 bucket. Implement access control directly in the application.",Configure S3 Transfer Acceleration on the existing S3 bucket. Direct customer,Deploy an Amazon CloudFront distribution with the existing S3 bucket as the,Set up a second S3 bucket in the eu-central-1 Region with S3 Cross-Region,Modify the web application to enable streaming of the datasets to end users.,,,B,"=IF(H14=I14,1,0)",Design High-Performing Architectures
Q14,"A company needs to retain application log files for a critical application for 10 years. The application team regularly accesses logs from the past month for troubleshooting, but logs older than 1 month are rarely accessed. The application generates more than 10 TB of logs per month. Which storage option meets these requirements MOST cost-effectively? 90 Global IT Certification Hub month old to S3 Glacier Deep Archive. 1 month old to S3 Glacier Deep Archive. more than 1 month old to S3 Glacier Deep Archive. to move logs more than 1 month old to S3 Glacier ation Deep Archive.",Store the logs in Amazon S3. Use AWS Backup to move logs more than 1,Store the logs in Amazon S3. Use S3 Lifecycle policies to move logs more than,Store the logs in Amazon CloudWatch Logs. Use AWS Backup to move logs,Store the logs in Amazon CloudWatch Logs. Use Amazon S3 Lifecycle policies,,,B,"=IF(H15=I15,1,0)",Design Cost-Optimized Architectures
Q15,A video game company is deploying a new gaming application to its global users. The company requires a solution that will provide near real-time reviews and rankings of the players. A solutions architect must design a solution to provide fast access to the data. The solution must also ensure the data persists on disks in the event that the company restarts the application. Which solution will meet these requirements with the LEAST operational overhead? origin. Store the player data in the S3 bucket. on the EC2 instances. Configure Amazon Route 53 with geolocation records to direct users to the closest EC2 instance. ElastiCache cluster. the ElastiCache cluster.,Configure an Amazon CloudFront distribution with an Amazon S3 bucket as the,Create Amazon EC2 instances in multiple AWS Regions. Store the player data,Deploy an Amazon ElastiCache for Redis duster. Store the player data in the,Deploy an Amazon ElastiCache for Memcached duster. Store the player data in,,,C,"=IF(H16=I16,1,0)",Design High-Performing Architectures
Q16,"A company has hundreds of Amazon EC2 Linux-based instances in the AWS Cloud. Systems administrators have used shared SSH keys to manage the instances. After a recent audit, the company's security team is mandating the removal of all shared keys. A solutions architect must design a solution that provides secure access to the EC2 instances. 197 Global IT Certification Hub Which solution will meet this requirement with the LEAST amount of administrative overhead? on demand. instances to allow only SSH access from the bastion instances. AWS Lambda function to generate a temporary SSH key.",Use AWS Systems Manager Session Manager to connect to the EC2 instances.,Use AWS Security Token Service (AWS STS) to generate one-time SSH keys,Allow shared SSH access to a set of bastion instances. Configure all other,Use an Amazon Cognito custom authorizer to authenticate users. Invoke an,,,A,"=IF(H17=I17,1,0)",Design Secure Architectures
Q17,"A company has a mobile game that reads most of its metadata from an Amazon RDS DB instance. As the game increased in popularity, developers noticed slowdowns related to the game's metadata load times. Performance metrics indicate that simply scaling the database will not help. A solutions architect must explore all options that include capabilities for snapshots, replication, and sub-millisecond response times. What should the solutions architect recommend to solve these issues? 483 Global IT Certification Hub",Migrate the database to Amazon Aurora with Aurora Replicas.,Migrate the database to Amazon DynamoDB with global tables.,Add an Amazon ElastiCache for Redis layer in front of the database.,Add an Amazon ElastiCache for Memcached layer in front of the database.,,,C,"=IF(H18=I18,1,0)",Design High-Performing Architectures
Q18,"A company hosts its multi-tier, public web application in the AWS Cloud. The web application runs on Amazon EC2 instances, and its database runs on Amazon RDS. The company is anticipating a large increase in sales during an upcoming holiday weekend. A solutions architect needs to build a solution to analyze the performance of the web application with a granularity of no more than 2 minutes. What should the solutions architect do to meet this requirement? to perform further analysis. metrics to perform further analysis. Logs. Use Amazon CloudWatch metrics to perform further analysis. bucket to process raw data for further analysis with Amazon QuickSight.",Send Amazon CloudWatch logs to Amazon Redshift. Use Amazon QuickS ght,Enable detailed monitoring on all EC2 instances. Use Amazon CloudWatch,Create an AWS Lambda function to fetch EC2 logs from Amazon CloudWatch,Send EC2 logs to Amazon S3. Use Amazon Redshift to fetch logs from the S3,,,B,"=IF(H19=I19,1,0)",Design High-Performing Architectures
Q19,A company's infrastructure consists of hundreds of Amazon EC2 instances that use Amazon Elastic Block Store (Amazon EBS) storage. A solutions architect must ensure that every EC2 instance can be recovered after a disaster. What should the solutions architect do to meet this requirement with the LEAST amount of effort? Create an AWS CloudFormation template to launch new EC2 instances from the EBS storage. AWS Elastic Beanstalk to set the environment based on the EC2 template and attach the EBS storage. Use the AWS Backup API or the AWS CLI to speed up the restore process for multiple EC2 instances. attached to each EC2 instance and copy the Amazon Machine Images (AMIs). Create another Lambda function to perform the restores with the copied AMIs and attach the EBS storage.,Take a snapshot of the EBS storage that is attached to each EC2 instance.,Take a snapshot of the EBS storage that is attached to each EC2 instance. Use,Use AWS Backup to set up a backup plan for the entire group of EC2 instances.,Create an AWS Lambda function to take a snapshot of the EBS storage that is,,,C,"=IF(H20=I20,1,0)",Design Resilient Architectures
Q20,"A company wants to implement a backup strategy for Amazon EC2 data and multiple Amazon S3 buckets. Because of regulatory requirements, the company must retain backup files for a specific time period. The company must not alter the files for the duration of the retention period. Which solution will meet these requirements? mode. Create the required backup plan. snapshot policy. S3 Lifecycle management. mode. Create the required backup plan.",Use AWS Backup to create a backup vault that has a vault lock in governance,Use Amazon Data Lifecycle Manager to create the required automated,Use Amazon S3 File Gateway to create the backup. Configure the appropriate,Use AWS Backup to create a backup vault that has a vault lock in compliance,,,D,"=IF(H21=I21,1,0)",Design Resilient Architectures
Q21,A research laboratory needs to process approximately 8 TB of data. The laboratory requires sub-millisecond latencies and a minimum throughput of 6 GBps for the storage subsystem. Hundreds of Amazon EC2 instances that run Amazon Linux will distribute and process the data. Which solution will meet the performance requirements? policy to ALL. Import the raw data into the file system. Mount the fila system on the EC2 instances. Lustre file system that uses persistent SSD storage. Select the option to import data from and export data to Amazon S3. Mount the file system on the EC2 instances. Lustre file system that uses persistent HDD storage. Select the option to import data from and export data to Amazon S3. Mount the file system on the EC2 instances. 185 Global IT Certification Hub tiering policy to NONE. Import the raw data into the file system. Mount the file system on the EC2 instances.,Create an Amazon FSx for NetApp ONTAP file system. Sat each volume' tiering,Create an Amazon S3 bucket to store the raw data. Create an Amazon FSx for,Create an Amazon S3 bucket to store the raw data. Create an Amazon FSx for,Create an Amazon FSx for NetApp ONTAP file system. Set each volume's,,,B,"=IF(H22=I22,1,0)",Design High-Performing Architectures
Q22,A company previously migrated its data warehouse solution to AWS. The company also has an AWS Direct Connect connection. Corporate office users 147 Global IT Certification Hub query the data warehouse using a visualization tool. The average size of a query returned by the data warehouse is 50 MB and each webpage sent by the visualization tool is approximately 500 KB. Result sets returned by the data warehouse are not cached. Which solution provides the LOWEST data transfer egress cost for the company? over the internet. Access it over the internet. over a Direct Connect connection at a location in the same AWS Region. access it over a Direct Connect connection at a location in the same Region.,Host the visualization tool on premises and query the data warehouse directly,Host the visualization tool in the same AWS Region as the data warehouse.,Host the visualization tool on premises and query the data warehouse directly,Host the visualization tool in the same AWS Region as the data warehouse and,,,D,"=IF(H23=I23,1,0)",Design High-Performing Architectures
Q23,A company wants to standardize its Amazon Elastic Block Store (Amazon EBS) volume encryption strategy. The company also wants to minimize the cost and configuration effort required to operate the volume encryption check. Which solution will meet these requirements? are encrypted. Use Amazon EventBridge to schedule an AWS Lambda function to run the API calls. are encrypted. Run the API calls on an AWS Fargate task. use of tags on EBS volumes. Use AWS Cost Explorer to display resources that are not properly tagged. Encrypt the untagged resources manually. encrypted and to flag the volume if it is not encrypted. 428 Global IT Certification Hub,Write API calls to describe the EBS volumes and to confirm the EBS volumes,Write API calls to describe the EBS volumes and to confirm the EBS volumes,Create an AWS Identity and Access Management (IAM) policy that requires the,Create an AWS Config rule for Amazon EBS to evaluate if a volume is,,,D,"=IF(H24=I24,1,0)",Design Secure Architectures
Q24,A company wants to deploy an internal web application on AWS. The web application must be accessible only from the company's office. The company needs to download security patches for the web application from the internet. The company has created a VPC and has configured an AWS Site-to-Site VPN connection to the company's office. A solutions architect must design a secure architecture for the web application. Which solution will meet these requirements? a public Application Load Balancer (ALB). Attach an internet gateway to the VPC. Set the inbound source of the ALB's security group to 0.0.0.0/0. an internal Application Load Balancer (ALB). Deploy NAT gateways in public subnets. Attach an internet gateway to the VPC. Set the inbound source of the ALB's security group to the company's office network CIDR block. an internal Application Load Balancer (ALB). Deploy NAT gateways in private subnets. Attach an internet gateway to the VPSet the outbound destination of the ALB's security group to the company's office network CIDR block. behind a public Application Load Balancer (ALB). Attach an internet gateway to the VPC. Set the outbound destination of the ALB's security group to 0.0.0.0/0.,Deploy the web application on Amazon EC2 instances in public subnets behind,Deploy the web application on Amazon EC2 instances in private subnets behind,Deploy the web application on Amazon EC2 instances in public subnets behind,Deploy the web application on Amazon EC2 instances in private subnets,,,B,"=IF(H25=I25,1,0)",Design Secure Architectures
Q25,A streaming media company is rebuilding its infrastructure to accommodate increasing demand for video content that users consume daily. The company needs to process terabyte-sized videos to block some content in the videos. Video processing can take up to 20 minutes. The company needs a solution that will scale with demand and remain cost-effective. Which solution will meet these requirements? Amazon DynamoDB. Store video content in Amazon S3 Intelligent-Tiering. implement microservices to process videos. Store video metadata in Amazon Aurora. Store video content in Amazon S3 Intelligent-Tiering. Load Balancer (ALB) to process videos. Store video content in Amazon S3 Standard. Use Amazon Simple Queue Service (Amazon SQS) for queuing and to decouple processing tasks. Kubernetes Service (Amazon EKS) on Amazon EC2. Store video metadata in Amazon RDS in a single Availability Zone. Store video content in Amazon S3 Glacier Deep Archive. 625 Global IT Certification Hub,Use AWS Lambda functions to process videos. Store video metadata in,Use Amazon Elastic Container Service (Amazon ECS) and AWS Fargate to,Use Amazon EC2 instances in an Auto Scaling group behind an Application,Deploy a containerized video processing application on Amazon Elastic,,,B,"=IF(H26=I26,1,0)",Design Resilient Architectures
Q26,A company has two VPCs that are located in the us-west-2 Region within the same AWS account. The company needs to allow network traffic between these VPCs. Approximately 500 GB of data transfer will occur between the VPCs each month. What is the MOST cost-effective solution to connect these VPCs? of each VPC to use the transit gateway for inter-VPC communication. route tables of each VPC to use the VPN tunnel for inter-VPC communication. each VPC to use the VPC peering connection for inter-VPC communication. route tables of each VPC to use the Direct Connect connection for inter-VPC communication.,Implement AWS Transit Gateway to connect the VPCs. Update the route tables,Implement an AWS Site-to-Site VPN tunnel between the VPCs. Update the,Set up a VPC peering connection between the VPCs. Update the route tables of,Set up a 1 GB AWS Direct Connect connection between the VPCs. Update the,,,C,"=IF(H27=I27,1,0)",Design Secure Architectures
Q27,A company uses an Amazon EC2 instance to run a script to poll for and process messages in an Amazon Simple Queue Service (Amazon SQS) queue. 195 Global IT Certification Hub The company wants to reduce operational costs while maintaining its ability to process a growing number of messages that are added to the queue. What should a solutions architect recommend to meet these requirements? underutilized. appropriate runtime.,Increase the size of the EC2 instance to process messages faster.,Use Amazon EventBridge to turn off the EC2 instance when the instance is,Migrate the script on the EC2 instance to an AWS Lambda function with the,Use AWS Systems Manager Run Command to run the script on demand.,,,C,"=IF(H28=I28,1,0)",Design Cost-Optimized Architectures
Q28,"A company created a new organization in AWS Organizations. The organization has multiple accounts for the company's development teams. The development team members use AWS IAM Identity Center (AWS Single Sign-On) to access the accounts. For each of the company's applications, the development teams must use a predefined application name to tag resources that are created. A solutions architect needs to design a solution that gives the development team 415 Global IT Certification Hub the ability to create resources only if the application name tag has an approved value. Which solution will meet these requirements? application name tag to be specified for resources to be created. application name tag. applied to all resources in all accounts.",Create an IAM group that has a conditional Allow policy that requires the,Create a cross-account role that has a Deny policy for any resource that has the,Create a resource group in AWS Resource Groups to validate that the tags are,Create a tag policy in Organizations that has a list of allowed application names.,,,D,"=IF(H29=I29,1,0)",Design Secure Architectures
Q29,"A company has hired a solutions architect to design a reliable architecture for its application. The application consists of one Amazon RDS DB instance and two manually provisioned Amazon EC2 instances that run web servers. The EC2 instances are located in a single Availability Zone. An employee recently deleted the DB instance, and the application was unavailable for 24 hours as a result. The company is concerned with the overall reliability of its environment. What should the solutions architect do to maximize reliability of the application's infrastructure? instance. Update the DB instance to be Multi-AZ, and enable deletion protection. the EC2 instances behind an Application Load Balancer, and run them in an EC2 Auto Scaling group across multiple Availability Zones. AWS Lambda function. Configure the application to invoke the Lambda function through API Gateway. Have the Lambda function write the data to the two DB instances. subnets located in multiple Availability Zones. Use Spot Instances instead of On-Demand Instances. Set up Amazon CloudWatch alarms to monitor the health of the instances Update the DB instance to be Multi-AZ, and enable deletion protection.",Delete one EC2 instance and enable termination protection on the other EC2,"Update the DB instance to be Multi-AZ, and enable deletion protection. Place",Create an additional DB instance along with an Amazon API Gateway and an,Place the EC2 instances in an EC2 Auto Scaling group that has multiple,,,B,"=IF(H30=I30,1,0)",Design Resilient Architectures
Q30,A solutions architect is designing a company's disaster recovery (DR) architecture. The company has a MySQL database that runs on an Amazon EC2 instance in a private subnet with scheduled backup. The DR design needs to include multiple AWS Regions. Which solution will meet these requirements with the LEAST operational overhead? EC2 instance in the DR Region. Turn on replication. Turn on read replication for the primary DB instance in the different Availability Zones. primary DB cluster in the primary Region. Host the secondary DB cluster in the DR Region. that is configured for S3 Cross-Region Replication (CRR). Use the data backup to restore the database in the DR Region.,Migrate the MySQL database to multiple EC2 instances. Configure a standby,Migrate the MySQL database to Amazon RDS. Use a Multi-AZ deployment.,Migrate the MySQL database to an Amazon Aurora global database. Host the,Store the scheduled backup of the MySQL database in an Amazon S3 bucket,,,C,"=IF(H31=I31,1,0)",Design Resilient Architectures
Q31,A company is preparing to launch a public-facing web application in the AWS Cloud. The architecture consists of Amazon EC2 instances within a VPC behind an Elastic Load Balancer (ELB). A third-party service is used for the DNS. The company's solutions architect must recommend a solution to detect and protect 22 Global IT Certification Hub against large-scale DDoS attacks. Which solution meets these requirements? qnH,Enable Amazon GuardDuty on the account.,Enable Amazon Inspector on the EC2 instances.,Enable AWS Shield and assign Amazon Route 53 to it.,Enable AWS Shield Advanced and assign the ELB to it.,,,D,"=IF(H32=I32,1,0)",Design Secure Architectures
Q32,A company runs its application by using Amazon EC2 instances and AWS Lambda functions. The EC2 instances run in private subnets of a VPC. The Lambda functions need direct network access to the EC2 instances for the application to work. The application will run for 1 year. The number of Lambda functions that the application uses will increase during the 1-year period. The company must minimize costs on all application resources. Which solution will meet these requirements? private subnets that contain the EC2 instances. public subnets in the same VPC where the EC2 instances run. private subnets that contain the EC2 instances. service VPC.,Purchase an EC2 Instance Savings Plan. Connect the Lambda functions to the,Purchase an EC2 Instance Savings Plan. Connect the Lambda functions to new,Purchase a Compute Savings Plan. Connect the Lambda functions to the,Purchase a Compute Savings Plan. Keep the Lambda functions in the Lambda,,,C,"=IF(H33=I33,1,0)",Design Secure Architectures
Q33,A company has multiple AWS accounts in an organization in AWS Organizations that different business units use. The company has multiple offices around the world. The company needs to update security group rules to allow new office CIDR ranges or to remove old CIDR ranges across the organization. The company wants to centralize the management of security group rules to minimize the administrative overhead that updating CIDR ranges requires. Which solution will meet these requirements MOST cost-effectively? the security groups when a CIDR range update is necessary. AWS Resource Access Manager (AWS RAM) to share the prefix list across the organization. Use the prefix list in the security groups across the organization. enforce the security group update across the organization. Use an AWS Lambda function to update the prefix list automatically when the CIDR ranges change. AWS Firewall Manager common security group policy for the whole organization. Select the previously created security groups as primary groups in the policy.,Create VPC security groups in the organization's management account. Update,Create a VPC customer managed prefix list that contains the list of CIDRs. Use,Create an AWS managed prefix list. Use an AWS Security Hub policy to,Create security groups in a central administrative AWS account. Create an,,,B,"=IF(H34=I34,1,0)",Design Secure Architectures
Q34,"A solutions architect is creating an application. The application will run on Amazon EC2 instances in private subnets across multiple Availability Zones in a VPC. The EC2 instances will frequently access large files that contain confidential information. These files are stored in Amazon S3 buckets for processing. The solutions architect must optimize the network architecture to minimize data transfer costs. What should the solutions architect do to meet these requirements? the private subnets, add an entry for the gateway endpoint. private subnets, add a default route that points to the NAT gateway. route tables for the private subnets, add an entry for the interface endpoint. the route tables for the private subnets, add a default route that points to the NAT gateway in the same Availability Zone.",Create a gateway endpoint for Amazon S3 in the VPC. In the route tables for,Create a single NAT gateway in a public subnet. In the route tables for the,Create an AWS PrivateLink interface endpoint for Amazon S3 in the VPIn the,Create one NAT gateway for each Availability Zone in public subnets. In each of,,,A,"=IF(H35=I35,1,0)",Design Secure Architectures
Q35,A company wants to use Amazon FSx for Windows File Server for its Amazon EC2 instances that have an SMB file share mounted as a volume in the us-east-1 Region. The company has a recovery point objective (RPO) of 5 minutes for planned system maintenance or unplanned service disruptions. The company needs to replicate the file system to the us-west-2 Region. The replicated data must not be deleted by any user for 5 years. Which solution will meet these requirements? 385 Global IT Certification Hub Single-AZ 2 deployment type. Use AWS Backup to create a daily backup plan that includes a backup rule that copies the backup to us-west-2. Configure AWS Backup Vault Lock in compliance mode for a target vault in us-west-2. Configure a minimum duration of 5 years. Multi-AZ deployment type. Use AWS Backup to create a daily backup plan that includes a backup rule that copies the backup to us-west-2. Configure AWS Backup Vault Lock in governance mode for a target vault in us-west-2. Configure a minimum duration of 5 years. Multi-AZ deployment type. Use AWS Backup to create a daily backup plan that includes a backup rule that copies the backup to us-west-2. Configure AWS Backup Vault Lock in compliance mode for a target vault in us-west-2. Configure a minimum duration of 5 years. Single-AZ 2 deployment type. Use AWS Backup to create a daily backup plan that includes a backup rule that copies the backup to us-west-2. Configure AWS Backup Vault Lock in governance mode for a target vault in us-west-2. Configure a minimum duration of 5 years.,Create an FSx for Windows File Server file system in us-east-1 that has a,Create an FSx for Windows File Server file system in us-east-1 that has a,Create an FSx for Windows File Server file system in us-east-1 that has a,Create an FSx for Windows File Server file system in us-east-1 that has a,,,C,"=IF(H36=I36,1,0)",Design Resilient Architectures
Q36,A company hosts an online shopping application that stores all orders in an Amazon RDS for PostgreSQL Single-AZ DB instance. Management wants to eliminate single points of failure and has asked a solutions architect to recommend an approach to minimize database downtime without requiring any changes to the application code. Which solution meets these requirements? the database instance and specifying the Multi-AZ option. instance and restore the new Multi-AZ deployment with the snapshot. Zone. Use Amazon Route 53 weighted record sets to distribute requests across the databases. group with a minimum group size of two. Use Amazon Route 53 weighted record sets to distribute requests across instances.,Convert the existing database instance to a Multi-AZ deployment by modifying,Create a new RDS Multi-AZ deployment. Take a snapshot of the current RDS,Create a read-only replica of the PostgreSQL database in another Availability,Place the RDS for PostgreSQL database in an Amazon EC2 Auto Scaling,,,A,"=IF(H37=I37,1,0)",Design Resilient Architectures
