Question,Correct Answer,All Options,Domain,Explanation
Q20,AE,A. Set the CloudFront default TTL to 2 minutes. | B. Set a default TTL of 2 minutes on the S3 bucket. | C. Add a Cache-Control private directive to the objects in Amazon S3. | D. Create an AWS Lambda@Edge function to add an Expires header to HTTP | E. Add a Cache-Control max-age directive of 24 hours to the objects in Amazon,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q21,B,A. Create an IAM role to read the DynamoDB tables. Associate the role with the | B. Create an IAM role that has the required permissions to read and write from the | C. Use the parameter section in the AWS CloudFormation template to have the | D. Create an IAM user in the AWS CloudFormation template that has the required,Design Secure Architectures,Refer to AWS documentation and best practices
Q22,A,A. Use S3 Standard. Use an S3 Lifecycle rule to transition the reports to S3 | B. Use S3 Standard. Use an S3 Lifecycle rule to transition the reports to S3 | C. Use S3 Intelligent-Tiering. Configure S3 Intelligent-Tiering to transition the | D. Use S3 Standard. Use an S3 Lifecycle rule to transition the reports to S3,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q23,A,A. Use AWS Backup to copy EC2 backups and RDS backups to the separate | B. Use Amazon Data Lifecycle Manager (Amazon DLM) to copy EC2 backups and | C. Create Amazon Machine Images (AMIs) of the EC2 instances. Copy the AMIs | D. Create Amazon Elastic Block Store (Amazon EBS) snapshots. Copy the EBS,Design Resilient Architectures,Refer to AWS documentation and best practices
Q24,AD,A. Deploy Amazon DynamoDB as the database solution. Provision on-demand | B. Deploy Amazon Aurora as the database solution. Choose the serverless DB | C. Deploy Amazon DynamoDB as the database solution. Ensure that DynamoDB | D. Deploy the static content into an Amazon S3 bucket. Provision an Amazon | E. Deploy the web servers for static content across a fleet of Amazon EC2,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q25,AC,A. Configure an Auto Scaling group of new EC2 instances to retry the purchases | B. Configure the application to use an Amazon ElastiCache cluster in front of the | C. Update the application to send the purchase requests to an Amazon Simple | D. Configure an AWS Lambda function to retry the ticket purchases until the | E. Configure an Amazon AP! Gateway REST API with a usage plan.,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q26,A,A. Use client-side encryption to encrypt the data that is being uploaded to the S3 | B. Use server-side encryption to encrypt the data that is being uploaded to the S3 | C. Create bucket policies that require the use of server-side encryption with S3 | D. Enable the security option to encrypt the S3 buckets through the use of a,Design Secure Architectures,Refer to AWS documentation and best practices
Q27,B,"A. Set up AWS Systems Manager Patch Manager to manage all the EC2 | B. Set up AWS Systems Manager Patch Manager to manage all the EC2 | C. Set up AWS Shield Advanced, and configure monthly reports. Deploy AWS | D. Set up Amazon GuardDuty in the account to monitor all EC2 instances. Deploy",Design Secure Architectures,Refer to AWS documentation and best practices
Q28,A,A. Create a customer managed key. Use the key to encrypt the EBS volumes. | B. Use an AWS managed key to encrypt the EBS volumes. Use the key to | C. Create an external KMS key with imported key material. Use the key to encrypt | D. Use an AWS owned key to encrypt the EBS volumes.,Design Secure Architectures,Refer to AWS documentation and best practices
Q29,C,A. Create one AWS Glue job for each customer. Attach a security configuration to | B. Create one Amazon EMR cluster for each customer. Attach a security | C. Create one AWS Glue job for each customer. Attach a security configuration to | D. Create one Amazon EMR cluster for each customer. Attach a security,Design Secure Architectures,Refer to AWS documentation and best practices
Q30,B,A. Create an Auto Scaling group so that EC2 instances can scale out. Configure | B. Create an Amazon AppFlow flow to transfer data between each SaaS source | C. Create an Amazon EventBridge (Amazon CloudWatch Events) rule for each | D. Create a Docker container to use instead of an EC2 instance. Host the,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q31,A,A. Store the database user credentials in AWS Secrets Manager. Grant the | B. Store the database user credentials in AWS Systems Manager OpsCenter. | C. Store the database user credentials in a secure Amazon S3 bucket. Grant the | D. Store the database user credentials in files encrypted with AWS Key,Design Secure Architectures,Refer to AWS documentation and best practices
Q32,C,A. Provision an AWS Certificate Manager (ACM) certificate for each customer. | B. Provision a separate AWS Key Management Service (AWS KMS) key for each | C. Provision a separate AWS Key Management Service (AWS KMS) key for each | D. Provision an AWS Certificate Manager (ACM) certificate for each customer.,Design Secure Architectures,Refer to AWS documentation and best practices
Q33,A,A. Create an Auto Scaling group that has a minimum of one and a maximum of | B. Use AWS Backup to create an hourly backup of the EC2 instance that hosts | C. Create an Amazon Machine Image (AMI) of each application instance. Launch | D. Use AWS Mitigation Hub Refactor Spaces to migrate each application off the,Design Resilient Architectures,Refer to AWS documentation and best practices
Q34,A,A. Launch all EC2 instances in the same Availability Zone within the same AWS | B. Launch all EC2 instances in different Availability Zones within the same AWS | C. Deploy an Auto Scaling group to launch EC2 instances in different Availability | D. Deploy an Auto Scaling group with a step scaling policy to launch EC2,Design Resilient Architectures,Refer to AWS documentation and best practices
Q35,A,A. Migrate the database to Amazon Aurora MySQL. Replace the read replicas with | B. Deploy an Amazon ElastiCache for Redis cluster in front of the database. | C. Migrate the database to a MySQL database that runs on Amazon EC2 | D. Migrate the database to Amazon DynamoDB. Provision a large number of read,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q36,B,A. Containerize the website and host it in AWS Fargate. | B. Create an Amazon S3 bucket and host the website there. | C. Deploy a web server on an Amazon EC2 instance to host the website. | D. Configure an Application Load Balancer with an AWS Lambda target that uses,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q37,B,A. Use provisioned mode and DynamoDB Standard-Infrequent Access | B. Use provisioned mode. Specify the read capacity units (RCUs) and write | C. Use on-demand mode. Set the read capacity units (RCUs) and write capacity | D. Use on-demand mode. Specify the read capacity units (RCUs) and write,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q38,A,A. Create an Amazon Kinesis Data Firehose delivery stream to ingest the alerts. | B. Launch Amazon EC2 instances across two Availability Zones and place them | C. Create an Amazon Kinesis Data Firehose delivery stream to ingest the alerts. | D. Create an Amazon Simple Queue Service (Amazon SQS) standard queue to,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q39,A,A. Host static content in Amazon S3. Host dynamic content by using Amazon API | B. Host static content in Amazon S3. Host dynamic content by using Amazon API | C. Host all the website content on Amazon EC2 instances. Create an Auto Scaling | D. Host all the website content on Amazon EC2 instances. Create an Auto Scaling,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q40,B,A. Create an IAM role that specifies EBS encryption. Attach the role to the EC2 | B. Create the EBS volumes as encrypted volumes. Attach the EBS volumes to the | C. Create an EC2 instance tag that has a key of Encrypt and a value of True. Tag | D. Create an AWS Key Management Service (AWS KMS) key policy that enforces,Design Secure Architectures,Refer to AWS documentation and best practices
Q41,A,A. Move the website to an Amazon S3 bucket. Configure an Amazon CloudFront | B. Move the website to an Amazon S3 bucket. Configure an Amazon ElastiCache | C. Move the website to AWS Amplify. Configure an ALB to resolve to the Amplify | D. Move the website to AWS Amplify. Configure EC2 instances to cache the,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q42,AE,A. Use Amazon Kinesis Data Firehose to ingest the data. | B. Use AWS Lambda with AWS Step Functions to process the data. | C. Use AWS Database Migration Service (AWS DMS) to ingest the data. | D. Use Amazon EC2 instances in an Auto Scaling group to process the data. | E. Use AWS Fargate with Amazon Elastic Container Service (Amazon ECS) to,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q43,B,A. Create an Amazon FSx for NetApp ONTAP file system. Sat each volume' tiering | B. Create an Amazon S3 bucket to store the raw data. Create an Amazon FSx for | C. Create an Amazon S3 bucket to store the raw data. Create an Amazon FSx for | D. Create an Amazon FSx for NetApp ONTAP file system. Set each volume's,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q44,B,A. Create an Aurora read replica in us-west-1 similar in size to the production | B. Convert the Aurora cluster to an Aurora global database. Configure managed | C. Create a new Aurora cluster in us-west-1 that has Cross-Region Replication. | D. Create a new Aurora cluster in us-west-1. Use AWS Database Migration,Design Resilient Architectures,Refer to AWS documentation and best practices
Q45,C,A. Configure a Windows Server cluster that spans two Availability Zones on | B. Configure a Windows Server cluster that spans two Availability Zones on | C. Deploy the application on Amazon EC2 instances in two Availability Zones. | D. Deploy the application on Amazon EC2 instances in two Availability Zones.,Design Resilient Architectures,Refer to AWS documentation and best practices
Q46,B,A. Use Amazon ElastiCache for Redis. | B. Use Amazon DynamoDB Accelerator (DAX). | C. Replicate data by using DynamoDB global tables. | D. Use Amazon ElastiCache for Memcached with Auto Discovery enabled.,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q47,C,A. Migrate the file share to Amazon RDS. | B. Migrate the file share to AWS Storage Gateway. | C. Migrate the file share to Amazon FSx for Windows File Server. | D. Migrate the file share to Amazon Elastic File System (Amazon EFS).,Design Resilient Architectures,Refer to AWS documentation and best practices
Q48,C,A. Two AWS Direct Connect connections from the primary data center terminating | B. A single AWS Direct Connect connection from each of the primary and | C. Two AWS Direct Connect connections from each of the primary and secondary | D. A single AWS Direct Connect connection from each of the primary and,Design Secure Architectures,Refer to AWS documentation and best practices
Q49,D,A. Add a second ActiveMQ server to another Availability Zone. Add an additional | B. Use Amazon MQ with active/standby brokers configured across two Availability | C. Use Amazon MQ with active/standby brokers configured across two Availability | D. Use Amazon MQ with active/standby brokers configured across two Availability,Design Resilient Architectures,Refer to AWS documentation and best practices
Q50,C,A. Use Lambda to retrieve all due payments. Publish the due payments to an | B. Use Lambda to retrieve all due payments. Publish the due payments to an | C. Use Lambda to retrieve all due payments. Publish the due payments to an | D. Use Lambda to retrieve all due payments. Store the due payments in an,Design Resilient Architectures,Refer to AWS documentation and best practices
Q51,B,A. Create an Amazon CloudFront distribution in front of the API Gateway Regional | B. Create a Regional AWS WAF web ACL with a rate-based rule. Associate the | C. Use Amazon CloudWatch metrics to monitor the Count metric and alert the | D. Create an Amazon CloudFront distribution with Lambda@Edge in front of the,Design Secure Architectures,Refer to AWS documentation and best practices
Q52,C,A. Update the Auto Scaling group to use Reserved Instances instead of | B. Update the Auto Scaling group to scale by launching Spot Instances instead of | C. Create an Amazon CloudFront distribution to host the static web contents from | D. Create an AWS Lambda function behind an Amazon API Gateway API to host,Design Resilient Architectures,Refer to AWS documentation and best practices
Q53,C,A. Add an Application Load Balancer. | B. Add Amazon ElastiCache for Redis or Memcached to the database layer of the | C. Invalidate the CloudFront cache. | D. Use AWS Certificate Manager (ACM) to validate the website's SSL certificate.,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q54,C,A. GP2 volume type | B. io2 volume type | C. GP3 volume type | D. io1 volume type,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q55,A,A. Configure an accelerator in AWS Global Accelerator. Add a listener for the port | B. Create an Amazon CloudFront distribution and specify the ALB as the origin | C. Create an Amazon CloudFront distribution and specify Amazon S3 as the origin | D. Configure an Amazon DynamoDB database to serve as the data store for the,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q56,A,A. Create a new AWS Key Management Service (AWS KMS) encryption key. Use | B. Create two parameters in AWS Systems Manager Parameter Store: one for the | C. Store a file that contains the credentials in an AWS Key Management Service | D. Store a file that contains the credentials in an AWS Key Management Service,Design Secure Architectures,Refer to AWS documentation and best practices
Q57,B,A. Store all the objects in S3 Standard with an S3 Lifecycle rule to transition the | B. Store all the objects in S3 Standard with an S3 Lifecycle rule to transition the | C. Store all the objects in S3 Standard with an S3 Lifecycle rule to transition the | D. Store all the objects in S3 Intelligent-Tiering with an S3 Lifecycle rule to,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q58,AD,A. Create an Amazon RDS DB instance in Multi-AZ mode. | B. Create an Amazon RDS DB instance and one or more replicas in another | C. Create an Amazon EC2 instance-based Docker cluster to handle the dynamic | D. Create an Amazon Elastic Container Service (Amazon ECS) cluster with a | E. Create an Amazon Elastic Container Service (Amazon ECS) cluster with an,Design Resilient Architectures,Refer to AWS documentation and best practices
Q59,A,A. Use AWS Lambda event source mapping. Set Amazon Simple Queue Service | B. Use AWS Lambda event source mapping. Use Amazon Simple Queue Service | C. Use the AWS Lambda event source mapping. Set Amazon Simple Queue | D. Use the AWS Lambda event source mapping. Set Amazon Simple Queue,Design Secure Architectures,Refer to AWS documentation and best practices
Q60,B,A. Establish AWS VPN connections and proxy all traffic through a VPC gateway | B. Establish a new AWS Direct Connect connection and direct backup traffic | C. Order daily AWS Snowball devices. Load the data onto the Snowball devices | D. Submit a support ticket through the AWS Management Console. Request the,Design Resilient Architectures,Refer to AWS documentation and best practices
Q61,C,A. Configure a CloudFront signed URL. | B. Configure a CloudFront signed cookie. | C. Configure a CloudFront field-level encryption profile. | D. Configure CloudFront and set the Origin Protocol Policy setting to HTTPS Only,Design Secure Architectures,Refer to AWS documentation and best practices
Q62,B,A. Instruct each developer to tag all their resources with a tag that has a key of | B. Use AWS Budgets to establish budgets for each developer account. Set up | C. Use AWS Cost Explorer to monitor and report on costs for each developer | D. Use AWS Service Catalog to allow developers to launch resources within a,Design Secure Architectures,Refer to AWS documentation and best practices
Q63,D,A. Use logs in Amazon CloudWatch Logs to monitor the storage utilization of | B. Use a custom script to monitor space usage. Use Amazon EBS Elastic Volumes | C. Delete all expired and unused snapshots to reduce snapshot costs. | D. Delete all nonessential snapshots. Use Amazon Data Lifecycle Manager to,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q64,A,A. Use cost allocation tags on AWS resources to label owners. Create usage | B. Use AWS Cost Explorer forecasts to determine resource owners. Use AWS | C. Use cost allocation tags on AWS resources to label owners. Use AWS Support | D. Use AWS Cost Explorer forecasts to determine resource owners. Create usage,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q65,D,A. Use an Amazon EC2 instance in an Auto Scaling group to deploy a | B. Use AWS Lambda functions to manage the existing monolithic application. Use | C. Use Amazon Elastic Kubernetes Service (Amazon EKS) with an Amazon EC2 | D. Use Amazon Elastic Container Service (Amazon ECS) with AWS Fargate to,Design Resilient Architectures,Refer to AWS documentation and best practices
