Question,Correct Answer,All Options,Domain,Explanation
Q27,B,A. Use AWS Organizations to set up the infrastructure. Use AWS Config to track | B. Use AWS CloudFormation to set up the infrastructure. Use AWS Config to track | C. Use AWS Organizations to set up the infrastructure. Use AWS Service Catalog | D. Use AWS CloudFormation to set up the infrastructure. Use AWS Service,Design Secure Architectures,Refer to AWS documentation and best practices
Q28,A,A. Use DynamoDB Accelerator (DAX). | B. Migrate the database to Amazon Redshift. | C. Migrate the database to Amazon RDS. | D. Use Amazon ElastiCache for Redis.,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q29,AC,A. Create an IAM resource policy for the Lambda function that allows Amazon | B. Implement an Amazon Simple Queue Service (Amazon SQS) queue in the | C. Create an IAM policy for the SNS topic that allows the Lambda function to | D. Use an Amazon EventBridge rule in the production account to capture the SNS | E. Store performance metrics in an Amazon S3 bucket in the production account.,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q30,D,A. Reconfigure the target group in the development environment to have only one | B. Change the ALB balancing algorithm to least outstanding requests. | C. Reduce the size of the EC2 instances in both environments. | D. Reduce the maximum number of EC2 instances in the development,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q31,C,A. Remove the two NAT instances and replace them with two NAT gateways in the | B. Use Auto Scaling groups with Network Load Balancers for the NAT instances in | C. Remove the two NAT instances and replace them with two NAT gateways in | D. Replace the two NAT instances with Spot Instances in different Availability,Design Resilient Architectures,Refer to AWS documentation and best practices
Q32,C,A. Store the data in Amazon S3 Glacier. Update the S3 Glacier vault policy to | B. Store the data in an Amazon Elastic Block Store (Amazon EBS) volume. Mount | C. Store the data in an Amazon Elastic File System (Amazon EFS) file system. | D. Store the data in an Amazon Elastic Block Store (Amazon EBS) Provisioned,Design Resilient Architectures,Refer to AWS documentation and best practices
Q33,D,A. Take a snapshot of the existing DB instance. Restore the snapshot with | B. Migrate from Amazon RDS to Amazon OpenSearch Service with OpenSearch | C. Deploy Amazon DynamoDB Accelerator (DAX) in front of the existing DB | D. Deploy an Amazon ElastiCache for Redis cluster in front of the existing DB,Design Resilient Architectures,Refer to AWS documentation and best practices
Q34,D,A. Encrypt the data in the S3 bucket with server-side encryption (SSE) that uses | B. Encrypt the data in the S3 bucket with server-side encryption (SSE) that uses | C. Encrypt the data in the S3 bucket with the default server-side encryption (SSE). | D. Encrypt the data at the company's data center before storing the data in the S3,Design Secure Architectures,Refer to AWS documentation and best practices
Q35,A,"A. Create an Auto Scaling group and a load balancer in the disaster recovery | B. Create an AWS CloudFormation template to create EC2 instances, load | C. Create an AWS CloudFormation template to create EC2 instances and a load | D. Create an Auto Scaling group and load balancer in the disaster recovery",Design Resilient Architectures,Refer to AWS documentation and best practices
Q36,BD,A. Create an Amazon EC2-backed Amazon Machine Image (AMI) lifecycle policy | B. Create an Amazon EC2-backed Amazon Machine Image (AMI) lifecycle policy | C. Create backup vaults in us-west-1 and in us-west-2 by using AWS Backup. | D. Create a backup vault by using AWS Backup. Use AWS Backup to create a | E. Create a backup vault by using AWS Backup. Use AWS Backup to create a,Design Resilient Architectures,Refer to AWS documentation and best practices
Q37,D,A. Use AWS Certificate Manager (ACM) to issue an SSL/TLS certificate. Apply the | B. Use AWS Certificate Manager (ACM) to issue an SSL/TLS certificate. Import | C. Use AWS Certificate Manager (ACM) Private Certificate Authority to issue an | D. Use AWS Certificate Manager (ACM) to import an SSL/TLS certificate. Apply,Design Secure Architectures,Refer to AWS documentation and best practices
Q38,B,"A. Use multi-factor authentication (MFA) to protect the encryption keys. | B. Use AWS Key Management Service (AWS KMS) to protect the encryption keys. | C. Use AWS Certificate Manager (ACM) to create, store, and assign the | D. Use an IAM policy to limit the scope of users who have access permissions to",Design Secure Architectures,Refer to AWS documentation and best practices
Q39,C,A. Give the developers the ability to launch separate Amazon Aurora instances. | B. Develop an AWS Service Catalog product that enforces size restrictions for | C. Create an Amazon Aurora Serverless cluster. Develop an AWS Service Catalog | D. Monitor AWS Trusted Advisor checks for idle Amazon RDS databases. Create,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q40,D,A. Create DynamoDB tables in a single AWS Region. Use on-demand capacity | B. Use DynamoDB Accelerator (DAX) to cache frequently accessed data. Deploy | C. Create DynamoDB tables in multiple AWS Regions. Use on-demand capacity | D. Use DynamoDB global tables for automatic multi-Region replication. Deploy,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q41,D,A. Use On-Demand Instances for the Amazon RDS for PostgreSQL workloads. | B. Purchase Reserved Instances for a 1 year term with the No Upfront option for | C. Purchase Reserved Instances for a 1 year term with the Partial Upfront option | D. Purchase Reserved Instances for a 3 year term with the All Upfront option for,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q42,D,A. Use Amazon EC2 Auto Scaling to scale at certain periods based on previous | B. Use an AWS Lambda function to scale Amazon ECS based on metric breaches | C. Use Amazon EC2 Auto Scaling with simple scaling policies to scale when ECS | D. Use AWS Application Auto Scaling with target tracking policies to scale when,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q43,D,A. Change the existing database to a Multi-AZ deployment. Serve the read | B. Change the existing database to a Multi-AZ deployment. Serve the read | C. Create read replicas for the database. Configure the read replicas with half of | D. Create read replicas for the database. Configure the read replicas with the,Design Resilient Architectures,Refer to AWS documentation and best practices
Q44,A,A. Set up a VPC peering connection between VPC-A and VPC-B. | B. Set up VPC gateway endpoints for the EC2 instance running in VPC-B. | C. Attach a virtual private gateway to VPC-B and set up routing from VPC-A. | D. Create a private virtual interface (VIF) for the EC2 instance running in VPC-B,Design Secure Architectures,Refer to AWS documentation and best practices
Q45,ACE,"A. Create an AWS Lambda function to retrieve user information from Amazon | B. Create an Amazon Elastic Container Service (Amazon ECS) service behind an | C. Create an Amazon Cognito user pool to authenticate users. | D. Create an Amazon Cognito identity pool to authenticate users. | E. Use AWS Amplify to serve the frontend web content with HTML, CSS, and JS.",Design High-Performing Architectures,Refer to AWS documentation and best practices
Q46,A,A. Amazon FSx for Lustre integrated with Amazon S3 | B. Amazon FSx for Windows File Server integrated with Amazon S3 | C. Amazon S3 Glacier integrated with Amazon Elastic Block Store (Amazon EBS) | D. Amazon S3 bucket with a VPC endpoint integrated with an Amazon Elastic,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q47,B,A. Use AWS CloudTrail to track configuration changes and AWS Config to record | B. Use AWS Config to track configuration changes and AWS CloudTrail to record | C. Use AWS Config to track configuration changes and Amazon CloudWatch to | D. Use AWS CloudTrail to track configuration changes and Amazon CloudWatch,Design Secure Architectures,Refer to AWS documentation and best practices
Q48,B,A. Use Amazon FSx for Lustre scratch file systems. | B. Use Amazon FSx for Lustre persistent file systems. | C. Use Amazon Elastic File System (Amazon EFS) with Bursting Throughput | D. Use Amazon Elastic File System (Amazon EFS) with Provisioned Throughput,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q49,B,A. Use Amazon Aurora MySQL with Multi-AZ Aurora Replicas for production. | B. Use Amazon Aurora MySQL with Multi-AZ Aurora Replicas for production. Use | C. Use Amazon RDS for MySQL with a Multi-AZ deployment and read replicas for | D. Use Amazon RDS for MySQL with a Multi-AZ deployment and read replicas for,Design Resilient Architectures,Refer to AWS documentation and best practices
Q50,A,A. Amazon CloudFront | B. AWS Global Accelerator | C. Amazon Route 53 | D. Amazon S3 Transfer Acceleration,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q51,A,A. Deploy Amazon CloudFront for content delivery and caching. | B. Use AWS DataSync to replicate the video files across AW'S Regions in other | C. Use Amazon Elastic Transcoder to convert the video files to more appropriate | D. Deploy an Auto Sealing group of Amazon EC2 instances in Local Zones for | E. Deploy an Auto Scaling group of Amazon EC2 instances to convert the video,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q52,D,A. Use scheduled scaling for Amazon EC2 Auto Scaling to scale out the | B. Use Amazon ElastiCache for Redis in front of the DynamoDB backend tier. Use | C. Add an Amazon CloudFront distribution to cache the responses for the web tier. | D. Use an Amazon EC2 Auto Scaling target tracking policy to scale out the,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q53,D,"A. Deploy AWS Certificate Manager to generate certificates. Use the certificates to | B. Deploy AWS CloudHSM, generate encryption keys, and use the keys to encrypt | C. Configure SSL encryption using AWS Key Management Service (AWS KMS) | D. Configure Amazon Elastic Block Store (Amazon EBS) encryption and Amazon",Design Secure Architectures,Refer to AWS documentation and best practices
Q54,C,A. Create individual users in IAM Identity Center for each account. Create | B. Create individual users in IAM Identity Center for each account. Create | C. Create individual users in IAM Identity Center. Create new developer and | D. Create individual users in IAM Identity Center. Create new permission sets that,Design Secure Architectures,Refer to AWS documentation and best practices
Q55,DE,A. Take a manual snapshot of the DB cluster. | B. Create a lifecycle policy for the automated backups. | C. Configure automated backup retention for 5 years. | D. Configure an Amazon CloudWatch Logs export for the DB cluster. | E. Use AWS Backup to take the backups and to keep the backups for 5 years.,Design Resilient Architectures,Refer to AWS documentation and best practices
Q56,C,A. Use Amazon Redshift with a single node for leader and compute functionality. | B. Use Amazon RDS with a Single-AZ deployment Configure Amazon RDS to add | C. Use Amazon Aurora with a Multi-AZ deployment. Configure Aurora Auto | D. Use Amazon ElastiCache for Memcached with EC2 Spot Instances.,Design Resilient Architectures,Refer to AWS documentation and best practices
Q57,C,A. Import the data into an Amazon DynamoDB table with provisioned capacity. | B. Create the database on a compute optimized Amazon EC2 instance. Ensure | C. Create an Amazon Aurora MySQL Multi-AZ DB cluster with multiple read | D. Create an Amazon Aurora MySQL Multi-AZ DB cluster. Configure the,Design Resilient Architectures,Refer to AWS documentation and best practices
Q58,C,A. Purchase an EC2 Instance Savings Plan Optimize the Lambda functions' | B. Purchase an EC2 Instance Savings Plan Optimize the Lambda functions' | C. Purchase a Compute Savings Plan. Optimize the Lambda functions' duration | D. Purchase a Compute Savings Plan. Optimize the Lambda functions' duration,Design Secure Architectures,Refer to AWS documentation and best practices
Q59,B,"A. Migrate the file server to an Amazon EC2 instance in a public subnet. Configure | B. Migrate the files to an Amazon FSx for Windows File Server file system. | C. Migrate the files to Amazon S3, and create a private VPC endpoint. Create a | D. Migrate the files to Amazon S3, and create a public VPC endpoint. Allow",Design Secure Architectures,Refer to AWS documentation and best practices
Q60,A,A. Migrate the existing RDS for MySQL database to an Aurora Serverless v2 | B. Migrate the existing RDS for MySQL database to an Aurora MySQL database | C. Migrate the existing RDS for MySQL database to an Amazon EC2 instance that | D. Migrate the existing RDS for MySQL database to an Amazon Elastic Container,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q61,A,A. Use AWS Batch to run the tasks as jobs. Schedule the jobs by using Amazon | B. Convert the EC2 instance to a container. Use AWS App Runner to create the | C. Copy the tasks into AWS Lambda functions. Schedule the Lambda functions by | D. Create an Amazon Machine Image (AMI) of the EC2 instance that runs the,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q62,BD,A. Create an accelerator in AWS Global Accelerator. Configure custom routing for | B. Create an Amazon FSx for Lustre file system. Configure the file system with | C. Create an Amazon CloudFront distribution. Configure the viewer protocol policy | D. Launch Amazon EC2 instances. Attach an Elastic Fabric Adapter (EFA) to the | E. Create an AWS Elastic Beanstalk deployment to manage the environment.,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q63,C,A. Place all the EC2 instances in an Auto Scaling group. | B. Place all the EC2 instances in the same AWS Region. | C. Place all the EC2 instances in the same Availability Zone. | D. Place all the EC2 instances in private subnets in multiple Availability Zones.,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q64,B,A. Configure an S3 interface endpoint. Create a security group that allows | B. Configure an S3 gateway endpoint. Update the VPC route table to use the | C. Configure an S3 bucket policy to allow traffic from the Elastic IP address that is | D. Create a second NAT gateway in the same subnet where the legacy application,Design Secure Architectures,Refer to AWS documentation and best practices
Q65,A,"A. Enable a Multi-AZ deployment for the DB instance. | B. Enable auto scaling for the DB instance in one Availability Zone. | C. Configure the DB instance in one Availability Zone, and create multiple read | D. Configure the DB instance in one Availability Zone, and configure AWS",Design Resilient Architectures,Refer to AWS documentation and best practices
