Question,Correct Answer,All Options,Domain,Explanation
Q18,B,A. Send Amazon CloudWatch logs to Amazon Redshift. Use Amazon QuickS ght | B. Enable detailed monitoring on all EC2 instances. Use Amazon CloudWatch | C. Create an AWS Lambda function to fetch EC2 logs from Amazon CloudWatch | D. Send EC2 logs to Amazon S3. Use Amazon Redshift to fetch logs from the S3,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q19,C,A. Take a snapshot of the EBS storage that is attached to each EC2 instance. | B. Take a snapshot of the EBS storage that is attached to each EC2 instance. Use | C. Use AWS Backup to set up a backup plan for the entire group of EC2 instances. | D. Create an AWS Lambda function to take a snapshot of the EBS storage that is,Design Resilient Architectures,Refer to AWS documentation and best practices
Q20,D,A. Use AWS Backup to create a backup vault that has a vault lock in governance | B. Use Amazon Data Lifecycle Manager to create the required automated | C. Use Amazon S3 File Gateway to create the backup. Configure the appropriate | D. Use AWS Backup to create a backup vault that has a vault lock in compliance,Design Resilient Architectures,Refer to AWS documentation and best practices
Q21,B,A. Create an Amazon FSx for NetApp ONTAP file system. Sat each volume' tiering | B. Create an Amazon S3 bucket to store the raw data. Create an Amazon FSx for | C. Create an Amazon S3 bucket to store the raw data. Create an Amazon FSx for | D. Create an Amazon FSx for NetApp ONTAP file system. Set each volume's,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q22,D,A. Host the visualization tool on premises and query the data warehouse directly | B. Host the visualization tool in the same AWS Region as the data warehouse. | C. Host the visualization tool on premises and query the data warehouse directly | D. Host the visualization tool in the same AWS Region as the data warehouse and,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q23,D,A. Write API calls to describe the EBS volumes and to confirm the EBS volumes | B. Write API calls to describe the EBS volumes and to confirm the EBS volumes | C. Create an AWS Identity and Access Management (IAM) policy that requires the | D. Create an AWS Config rule for Amazon EBS to evaluate if a volume is,Design Secure Architectures,Refer to AWS documentation and best practices
Q24,B,A. Deploy the web application on Amazon EC2 instances in public subnets behind | B. Deploy the web application on Amazon EC2 instances in private subnets behind | C. Deploy the web application on Amazon EC2 instances in public subnets behind | D. Deploy the web application on Amazon EC2 instances in private subnets,Design Secure Architectures,Refer to AWS documentation and best practices
Q25,B,A. Use AWS Lambda functions to process videos. Store video metadata in | B. Use Amazon Elastic Container Service (Amazon ECS) and AWS Fargate to | C. Use Amazon EC2 instances in an Auto Scaling group behind an Application | D. Deploy a containerized video processing application on Amazon Elastic,Design Resilient Architectures,Refer to AWS documentation and best practices
Q26,C,A. Implement AWS Transit Gateway to connect the VPCs. Update the route tables | B. Implement an AWS Site-to-Site VPN tunnel between the VPCs. Update the | C. Set up a VPC peering connection between the VPCs. Update the route tables of | D. Set up a 1 GB AWS Direct Connect connection between the VPCs. Update the,Design Secure Architectures,Refer to AWS documentation and best practices
Q27,C,A. Increase the size of the EC2 instance to process messages faster. | B. Use Amazon EventBridge to turn off the EC2 instance when the instance is | C. Migrate the script on the EC2 instance to an AWS Lambda function with the | D. Use AWS Systems Manager Run Command to run the script on demand.,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q28,D,A. Create an IAM group that has a conditional Allow policy that requires the | B. Create a cross-account role that has a Deny policy for any resource that has the | C. Create a resource group in AWS Resource Groups to validate that the tags are | D. Create a tag policy in Organizations that has a list of allowed application names.,Design Secure Architectures,Refer to AWS documentation and best practices
Q29,B,"A. Delete one EC2 instance and enable termination protection on the other EC2 | B. Update the DB instance to be Multi-AZ, and enable deletion protection. Place | C. Create an additional DB instance along with an Amazon API Gateway and an | D. Place the EC2 instances in an EC2 Auto Scaling group that has multiple",Design Resilient Architectures,Refer to AWS documentation and best practices
Q30,C,A. Migrate the MySQL database to multiple EC2 instances. Configure a standby | B. Migrate the MySQL database to Amazon RDS. Use a Multi-AZ deployment. | C. Migrate the MySQL database to an Amazon Aurora global database. Host the | D. Store the scheduled backup of the MySQL database in an Amazon S3 bucket,Design Resilient Architectures,Refer to AWS documentation and best practices
Q31,D,A. Enable Amazon GuardDuty on the account. | B. Enable Amazon Inspector on the EC2 instances. | C. Enable AWS Shield and assign Amazon Route 53 to it. | D. Enable AWS Shield Advanced and assign the ELB to it.,Design Secure Architectures,Refer to AWS documentation and best practices
Q32,C,A. Purchase an EC2 Instance Savings Plan. Connect the Lambda functions to the | B. Purchase an EC2 Instance Savings Plan. Connect the Lambda functions to new | C. Purchase a Compute Savings Plan. Connect the Lambda functions to the | D. Purchase a Compute Savings Plan. Keep the Lambda functions in the Lambda,Design Secure Architectures,Refer to AWS documentation and best practices
Q33,B,A. Create VPC security groups in the organization's management account. Update | B. Create a VPC customer managed prefix list that contains the list of CIDRs. Use | C. Create an AWS managed prefix list. Use an AWS Security Hub policy to | D. Create security groups in a central administrative AWS account. Create an,Design Secure Architectures,Refer to AWS documentation and best practices
Q34,A,A. Create a gateway endpoint for Amazon S3 in the VPC. In the route tables for | B. Create a single NAT gateway in a public subnet. In the route tables for the | C. Create an AWS PrivateLink interface endpoint for Amazon S3 in the VPIn the | D. Create one NAT gateway for each Availability Zone in public subnets. In each of,Design Secure Architectures,Refer to AWS documentation and best practices
Q35,C,A. Create an FSx for Windows File Server file system in us-east-1 that has a | B. Create an FSx for Windows File Server file system in us-east-1 that has a | C. Create an FSx for Windows File Server file system in us-east-1 that has a | D. Create an FSx for Windows File Server file system in us-east-1 that has a,Design Resilient Architectures,Refer to AWS documentation and best practices
Q36,A,A. Convert the existing database instance to a Multi-AZ deployment by modifying | B. Create a new RDS Multi-AZ deployment. Take a snapshot of the current RDS | C. Create a read-only replica of the PostgreSQL database in another Availability | D. Place the RDS for PostgreSQL database in an Amazon EC2 Auto Scaling,Design Resilient Architectures,Refer to AWS documentation and best practices
Q37,A,A. Create an Auto Scaling group that has a minimum of one and a maximum of | B. Use AWS Backup to create an hourly backup of the EC2 instance that hosts | C. Create an Amazon Machine Image (AMI) of each application instance. Launch | D. Use AWS Mitigation Hub Refactor Spaces to migrate each application off the,Design Resilient Architectures,Refer to AWS documentation and best practices
Q38,D,"A. Amazon EBS for maximum performance, Amazon S3 for durable data storage, | B. Amazon EBS for maximum performance, Amazon EFS for durable data | C. Amazon EC2 instance store for maximum performance, Amazon EFS for | D. Amazon EC2 instance store for maximum performance, Amazon S3 for durable",Design High-Performing Architectures,Refer to AWS documentation and best practices
Q39,B,A. Use AWS Organizations to set up the infrastructure. Use AWS Config to track | B. Use AWS CloudFormation to set up the infrastructure. Use AWS Config to track | C. Use AWS Organizations to set up the infrastructure. Use AWS Service Catalog | D. Use AWS CloudFormation to set up the infrastructure. Use AWS Service,Design Secure Architectures,Refer to AWS documentation and best practices
Q40,A,A. Create a new AWS Key Management Service (AWS KMS) customer managed | B. Create an AWS Key Management Service (AWS KMS) AWS managed key to | C. Create an S3 bucket policy that restricts bucket access to the ECS task | D. Create a VPC endpoint for Amazon RDS for MySQL. Update the RDS for,Design Secure Architectures,Refer to AWS documentation and best practices
Q41,D,A. Configure an Amazon API Gateway REST API to invoke an AWS Lambda | B. Configure an Amazon API Gateway REST API to invoke an AWS Lambda | C. Configure an Amazon API Gateway WebSocket API to write to a data stream in | D. Configure an Amazon API Gateway HTTP API to invoke an AWS Lambda,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q42,D,A. Use scheduled scaling for Amazon EC2 Auto Scaling to scale out the | B. Use Amazon ElastiCache for Redis in front of the DynamoDB backend tier. Use | C. Add an Amazon CloudFront distribution to cache the responses for the web tier. | D. Use an Amazon EC2 Auto Scaling target tracking policy to scale out the,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q43,A,A. Create an Amazon Kinesis Data Firehose delivery stream to ingest the alerts. | B. Launch Amazon EC2 instances across two Availability Zones and place them | C. Create an Amazon Kinesis Data Firehose delivery stream to ingest the alerts. | D. Create an Amazon Simple Queue Service (Amazon SQS) standard queue to,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q44,A,A. Use AWS Lambda event source mapping. Set Amazon Simple Queue Service | B. Use AWS Lambda event source mapping. Use Amazon Simple Queue Service | C. Use the AWS Lambda event source mapping. Set Amazon Simple Queue | D. Use the AWS Lambda event source mapping. Set Amazon Simple Queue,Design Secure Architectures,Refer to AWS documentation and best practices
Q45,D,A. Purchase Reserved Instances that specify the Region needed. | B. Create an On-Demand Capacity Reservation that specifies the Region needed. | C. Purchase Reserved Instances that specify the Region and three Availability | D. Create an On-Demand Capacity Reservation that specifies the Region and,Design Resilient Architectures,Refer to AWS documentation and best practices
Q46,D,"A. Deploy AWS Certificate Manager to generate certificates. Use the certificates to | B. Deploy AWS CloudHSM, generate encryption keys, and use the keys to encrypt | C. Configure SSL encryption using AWS Key Management Service (AWS KMS) | D. Configure Amazon Elastic Block Store (Amazon EBS) encryption and Amazon",Design Secure Architectures,Refer to AWS documentation and best practices
Q47,BD,A. Store the documents in Amazon S3. Use S3 Object Lock in governance mode. | B. Store the documents in Amazon S3. Use S3 Object Lock in compliance mode. | C. Use server-side encryption with Amazon S3 managed encryption keys | D. Use server-side encryption with AWS Key Management Service (AWS KMS) | E. Use server-side encryption with AWS Key Management Service (AWS KMS),Design Secure Architectures,Refer to AWS documentation and best practices
Q48,C,A. Provision a subnet in each Availability Zone. Configure the Auto Scaling group | B. Provision two subnets that extend across both Availability Zones. Configure the | C. Provision a subnet in each Availability Zone. Configure the Auto Scaling group | D. Provision a subnet that extends across both Availability Zones. Configure the,Design Resilient Architectures,Refer to AWS documentation and best practices
Q49,D,A. Use Spot Instances exclusively to handle the maximum capacity required. | B. Use Reserved Instances exclusively to handle the maximum capacity required. | C. Use Reserved Instances for the baseline capacity and use Spot Instances to | D. Use Reserved Instances for the baseline capacity and use On-Demand,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q50,C,A. Use AWS Direct Connect to migrate the data to Amazon S3. | B. Use AWS DataSync to migrate the data to Amazon FSx for Lustre. | C. Use AWS DataSync to migrate the data to Amazon FSx for Windows File | D. Use AWS Direct Connect to migrate the data on-premises file storage to an,General,Refer to AWS documentation and best practices
Q51,AC,A. Configure the security group for the web tier to allow inbound traffic on port 443 | B. Configure the security group for the web tier to allow outbound traffic on port | C. Configure the security group for the database tier to allow inbound traffic on port | D. Configure the security group for the database tier to allow outbound traffic on | E. Configure the security group for the database tier to allow inbound traffic on,Design Secure Architectures,Refer to AWS documentation and best practices
Q52,B,A. Migrate the database to Amazon RDS for Oracle by using native tools. Replace | B. Migrate the database to Amazon RDS Custom for Oracle by using native tools. | C. Migrate the database to Amazon DynamoDB by using AWS Database Migration | D. Migrate the database to Amazon RDS for PostgreSQL by using AWS Database,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q53,A,A. Configure three Network Load Balancers (NLBs) in the three AWS Regions to | B. Configure three Application Load Balancers (ALBs) in the three AWS Regions | C. Configure three Network Load Balancers (NLBs) in the three AWS Regions to | D. Configure three Application Load Balancers (ALBs) in the three AWS Regions,Design Resilient Architectures,Refer to AWS documentation and best practices
Q54,C,A. Create a public virtual interface (VIF). Route the AWS traffic over the public VIF. | B. Create a VPC and a NAT gateway. Route the AWS traffic from the on-premises | C. Create a VPC and an Amazon S3 interface endpoint. Route the AWS traffic | D. Create a VPC peering connection between the on-premises network and Direct,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q55,A,A. Create an S3 Lifecycle configuration with a rule to transition the objects in the | B. Use the S3 storage class analysis tool to determine the correct tier for each | C. Create an S3 Lifecycle configuration with a rule to transition the objects in the | D. Create an S3 Lifecycle configuration with a rule to transition the objects in the,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q56,C,"A. Process the audio files by using Amazon Kinesis Video Streams. Use an AWS | B. When an audio file is uploaded to the S3 bucket, invoke an AWS Lambda | C. Configure an Amazon Transcribe transcription job with PII redaction turned on. | D. Create an Amazon Connect contact flow that ingests the audio files with",General,Refer to AWS documentation and best practices
Q57,B,A. Replace the existing architecture with a website that is served from an Amazon | B. Configure an Amazon CloudFront distribution with the ALB as the origin. Set the | C. Create an Amazon API Gateway API that is integrated with the ALB. Configure | D. Launch an EC2 instance in each additional Region and configure NGINX to act,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q58,B,A. Configure DynamoDB with provisioned read and write by using the DynamoDB | B. Configure DynamoDB in on-demand mode by using the DynamoDB Standard | C. Configure DynamoDB with provisioned read and write by using the DynamoDB | D. Configure DynamoDB in on-demand mode by using the DynamoDB Standard,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q59,A,A. Provision an AWS Direct Connect connection to a Region. Provision a VPN | B. Provision a VPN tunnel connection to a Region for private connectivity. | C. Provision an AWS Direct Connect connection to a Region. Provision a second | D. Provision an AWS Direct Connect connection to a Region. Use the Direct,Design Resilient Architectures,Refer to AWS documentation and best practices
Q60,D,A. Create an Amazon S3 bucket and call the service APIs from each instance's | B. Create an Amazon S3 bucket and configure all instances to access it as a | C. Configure an Amazon Elastic Block Store (Amazon EBS) volume and mount it | D. Configure an Amazon Elastic File System (Amazon EFS) file system and mount,Design Secure Architectures,Refer to AWS documentation and best practices
Q61,D,A. Add an Amazon CloudFront distribution for the dynamic content. Increase the | B. Add an Amazon CloudFront distribution for the static content. Place the EC2 | C. Add an Amazon CloudFront distribution for the dynamic content. Add an | D. Add an Amazon CloudFront distribution for the static content. Add an Amazon,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q62,A,A. Compute Savings Plan | B. EC2 Instance Savings Plan | C. Zonal Reserved Instances | D. Standard Reserved Instances,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q63,C,A. Replicate the S3 bucket that contains the website to all AWS Regions. Add | B. Provision accelerators in AWS Global Accelerator. Associate the supplied IP | C. Add an Amazon CloudFront distribution in front of the S3 bucket. Edit the Route | D. Enable S3 Transfer Acceleration on the bucket. Edit the Route 53 entries to,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q64,A,"A. Add more Provisioned IOPS SSD (io1) EBS volumes. Use OS commands to | B. Increase the Provisioned IOPS SSD (io1) EBS volume to more than 64,000 | C. Increase the size of the Provisioned IOPS SSD (io1) EBS volume to 2 TB. | D. Change the EC2 Linux instance to a storage optimized instance type. Do not",Design High-Performing Architectures,Refer to AWS documentation and best practices
Q65,A,A. Save the .pdf files to Amazon S3. Configure an S3 PUT event to invoke an | B. Save the .pdf files to Amazon DynamoDUse the DynamoDB Streams feature to | C. Upload the .pdf files to an AWS Elastic Beanstalk application that includes | D. Upload the .pdf files to an AWS Elastic Beanstalk application that includes,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
